Name,Club,Ssn,Pos,Age,GP,Min,G,A,xG,xA,Shots,SOT,Pass%,KP,Drb,Tkl,YC,Rating
Marcus Silva,FC United,2024-25,W,23,36,3024,18,11,13.8,8.9,115,42,79.1,79,130,40,3,7.45
Marcus Silva,FC United,2024-25,W,23,36,3024,18,11,13.8,8.9,115,42,79.1,79,130,40,3,7.45
Lucas Ferreira,City Athletic,2024-25,W,25,38,3240,11,16,10.2,14.8,99,38,84.7,118,88,57,2,7.52
James Thornton,Rovers FC,2024-25,W,20,35,2610,14,9,10.4,8.8,102,38,77.2,69,176,37,1,7.31
Diego Varela,South United,2024-25,W,28,30,2430,13,6,11.8,5.8,113,43,75.8,61,105,49,4,7.19
Amir Hassan,Northern City,2024-25,W,27,37,3150,12,15,,9.9,87,35,86.4,105,,67,2,7.61
Kai Becker,East Town,2024-25,W,22,33,2790,11,9,9.8,8.9,96,34,81.3,78,144,47,4,7.18
Tom Wheeler,West Athletic,2024-25,W,24,31,2580,9,13,8.1,12.1,84,29,82.6,101,92,55,1,7.29
Sam Okafor,City Athletic,2024-25,W,26,28,2240,-3,8,7.2,9.8,79,28,80.4,86,74,48,3,7.15
Elena Rossi,North Town,2024-25,W,21,22,1540,5,4,4.8,4.1,58,21,76.9,44,98,31,2,6.88
Carlos Mendez,South United,2024-25,W,29,34,2890,16,7,12.9,6.8,121,46,74.3,58,112,52,5,7.22
Jin Park,Rovers FC,2024-25,W,19,18,990,3,2,2.8,2.1,39,14,73.8,27,85,22,1,6.71
